id,start,stop,weekly_clicks,event,studied_credits,week,gender,imd_band,final_result,age_band_35-55,highest_education_HE Qualification,highest_education_Lower Than A Level,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,disability_Y,any_unusual_region,low_education
23629,0,0,23,0,60,0,F,20-30%,Fail,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
23629,0,1,5,0,60,1,F,20-30%,Fail,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
23629,1,2,9,0,60,2,F,20-30%,Fail,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
23629,2,3,2,0,60,3,F,20-30%,Fail,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
23629,3,5,8,0,60,5,F,20-30%,Fail,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
23629,5,7,23,0,60,7,F,20-30%,Fail,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
23629,7,8,35,0,60,8,F,20-30%,Fail,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
23629,8,9,10,0,60,9,F,20-30%,Fail,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
23629,9,10,2,0,60,10,F,20-30%,Fail,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
23629,10,12,30,0,60,12,F,20-30%,Fail,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,0,0,10,0,120,0,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,0,2,66,0,120,2,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,2,3,3,0,120,3,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,3,4,6,0,120,4,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,4,5,35,0,120,5,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,5,6,21,0,120,6,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,6,7,28,0,120,7,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,7,8,45,0,120,8,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,8,9,77,0,120,9,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,9,10,72,0,120,10,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,10,11,33,0,120,11,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,11,12,311,0,120,12,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,12,13,597,0,120,13,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,13,14,105,0,120,14,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,14,15,22,0,120,15,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,15,16,34,0,120,16,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,16,17,36,0,120,17,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,17,18,24,0,120,18,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,18,19,7,0,120,19,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,19,20,27,0,120,20,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,20,21,100,0,120,21,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,21,22,20,0,120,22,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,22,23,297,0,120,23,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,23,24,129,0,120,24,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,24,25,17,0,120,25,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,25,26,17,0,120,26,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,26,27,191,0,120,27,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,27,29,30,0,120,29,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,29,31,50,0,120,31,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,31,32,139,0,120,32,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,32,33,6,0,120,33,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
25107,33,34,2,0,120,34,F,20-30%,Pass,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
