id,stop,risk_score,log_risk,dropout_prob,risk_band
26315,36.0,0.9508325556279146,-0.05041730383415992,0.09766797577197617,Low (≥0.10)
26734,19.0,1.017208245201061,0.017061860314592937,0.10411845976466672,Low (≥0.10)
32327,14.0,2.3188116846919247,0.8410548495823215,0.2216925236136157,High (≥0.22)
32930,33.0,0.939682339248891,-0.062213397800917516,0.0965798346019987,Very Low
34662,14.0,2.2101730059780316,0.793070795713666,0.21249942633675367,Medium (≥0.10)
38711,24.0,2.3677216668406937,0.8619281707725464,0.22579621885045054,High (≥0.22)
39208,37.0,0.8676836222592673,-0.14192812124930435,0.08952187209292262,Very Low
41547,33.0,0.9292637555749621,-0.07336266703571225,0.09556190706079593,Very Low
47891,17.0,0.972641236190621,-0.02773998401833077,0.09979248117698825,Low (≥0.10)
53236,0.5,2.4228088426357584,0.8849275458768515,0.23039229632940905,High (≥0.22)
57285,28.0,0.9272758254061979,-0.07550421138939561,0.09536754993215091,Very Low
58653,36.0,0.9778818809820147,-0.022366392333348757,0.10030225579628693,Low (≥0.10)
59272,35.0,0.9476359388041681,-0.053784881283117286,0.09735615443728107,Low (≥0.10)
61352,5.0,2.1902788282943946,0.7840288545799398,0.21080423887100697,Medium (≥0.10)
63467,28.0,0.8873946364985952,-0.11946548411847913,0.09145958656379793,Very Low
70569,36.0,0.8994381505660827,-0.10598498774873875,0.0926415081895322,Very Low
70750,0.5,2.4124258329512505,0.8806328109402992,0.22952810435090354,High (≥0.22)
71504,33.0,0.8843134557881652,-0.12294369120029779,0.09115695962460024,Very Low
72349,3.0,2.065281269715712,0.7252664252322916,0.20006935830097472,Medium (≥0.10)
73584,13.0,2.3282225271190256,0.8451051125514618,0.22248380816632563,High (≥0.22)
73874,17.0,2.0908890702246086,0.7375893679749677,0.20228040318351181,Medium (≥0.10)
84541,9.0,1.1401640303902305,0.131172138362982,0.11594589896362284,Medium (≥0.10)
89850,34.0,1.0628190222166223,0.06092483295244169,0.108524229766219,Medium (≥0.10)
98842,33.0,1.0003883497286623,0.00038827434042380094,0.10248825348416635,Low (≥0.10)
99088,18.0,2.292537800491448,0.8296594137765352,0.2194790918184919,High (≥0.22)
